#metalrod
0,0
2,1
0,0
0,0
2,1
0,0
0,0
0,0
0,0

4,2

#torch
0,0
4,1
0,0
0,0
4,1
0,0
0,0
11,1
0,0

5,4

#crysaltorch
0,0
4,1
0,0
0,0
4,1
0,0
0,0
3,1
0,0

12,4

#stonepickaxe
0,0
4,1
0,0
0,0
4,1
0,0
1,1
1,1
1,1

7,64

#stonesword
0,0
4,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0

6,100

#crystalpickaxe-duribility200
0,0
4,1
0,0
0,0
4,1
0,0
3,1
3,1
3,1

9,512

#ropeitem

0,0
13,1
0,0
0,0
11,1
0,0
0,0
13,1
0,0

14,3
#chest
3,1
3,1
3,1
3,1
0,0
3,1
3,1
2,1
3,1

15,1
#furnace
3,1
3,1
3,1
3,1
0,0
3,1
3,1
3,1
3,1

16,1
#ironpick
0,0
4,1
0,0
0,0
4,1
18,1
18,1
18,1
18,256

19,1
#ironsword
0,0
4,1
0,0
0,0
18,1
0,0
0,0
1,1
0,0

20,100
#irontop
18,1
18,1
18,1
18,1
18,1
18,1
18,1
0,0
18,1

22,100
#ironbottom
18,1
0,0
18,1
18,1
0,0
18,1
18,1
18,1
18,1

23,100

#crystaltop
3,1
3,1
3,1
3,1
3,1
3,1
3,1
0,0
3,1

24,256
#crystalbottom
3,1
0,0
3,1
3,1
0,0
3,1
3,1
3,1
3,1

25,256
